Year,Headline,Type,Content,Link,,,,,,,,,,,,Source
2017,An Oral History of the Comedy Cellar,Feature,Video/Audio,https://www.vanityfair.com/hollywood/2016/03/comedy-cellar-oral-history,,,,,,,,,,,,Vanity Fair
2017,"After A Decade of Mystery, Author of ""The Immortal"" is Finally Talking",Feature,Text,https://www.vox.com/culture/2017/9/13/16275802/who-wrote-my-immortal-tara-rose-christo,,,,,,,,,,,,Vox
2017,My Favorite Bugs from My Four Years Living in New York City,Feature,Illustration,https://www.newyorker.com/humor/daily-shouts/my-favorite-bugs-from-my-four-years-living-in-new-york-city,,,,,,,,,,,,New Yorker
2017,Heroin in Cincinnati: This Is What An Epidemic Looks Like,Analysis,Photo,https://www.cincinnati.com/pages/interactives/seven-days-of-heroin-epidemic-cincinnati/,,,,,,,,,,,,Cincinnati Enquirer
2017,Night Sky poster,Feature,Illustration,https://thenightsky.com/,,,,,,,,,,,,Night Sky
2017,Carbon Story ,Feature,Interactive,http://www.globalcarbonatlas.org/?q=outreach,,,,,,,,,,,,Global Carbon Atlas
2017,From Russia With Blood,Feature,Text,https://www.buzzfeed.com/heidiblake/from-russia-with-blood-14-suspected-hits-on-british-soil?utm_term=.ddxyvZN0M#.vaxGwL3oD,,,,,,,,,,,,BuzzFeed
2017,"Historic NBA games and plays, ranked by YouTube views",Sports,Video/Audio,https://pudding.cool/2017/05/nba-moments/,,,,,,,,,,,,The Pudding
2017,The Fine Line: What Makes Simone Biles the World's Best Gymnast,Sports,Interactive,https://www.nytimes.com/interactive/2016/08/05/sports/olympics-gymnast-simone-biles.html?_r=0,,,,,,,,,,,,The New York Times
2017,Seven Digital Deadly Sins: An Interactive Reflection of Our Digital Selves,Feature,Interactive,http://digital-deadly-sins.theguardian.com/#/home,,,,,,,,,,,,The Guardian
2017,Sexism and Shopping: Female Players Get Most of the Odd Questions at the U.S. Open,Analysis,Text,https://www.nytimes.com/2017/09/08/upshot/sexism-and-shopping-female-players-get-most-of-the-odd-questions-at-the-us-open.html?rref=collection%2Fsectioncollection%2Fupshot&action=click&contentCollection=upshot&region=stream&module=stream_unit&version=latest&contentPlacement=8&pgtype=sectionfront,,,,,,,,,,,,The New York Times
2017,Arab Spring Timeline,Analysis,Illustration,https://www.slow-journalism.com/infographics/society/arab-spring-timeline,,,,,,,,,,,,The Slow Journalism Company
2017,Safe Schools Laws,Analysis,Interactive,http://www.lgbtmap.org/equality-maps/safe_school_laws,,,,,,,,,,,,Movement Advancement Project
2017,Science News and Information Today,Analysis,Text,http://www.journalism.org/2017/09/20/science-news-and-information-today/,,,,,,,,,,,,Pew Research Center
2017,Raising Barriers: A New Age of Walls,Feature,Interactive,https://www.washingtonpost.com/graphics/world/border-barriers/global-illegal-immigration-prevention/,,,,,,,,,,,,The Washington Post
2017,Climate Change Claims a Lake and an Identity,Feature,Text,https://www.nytimes.com/interactive/2016/07/07/world/americas/bolivia-climate-change-lake-poopo.html?mtrref=undefined,,,,,,,,,,,,The New York Times
2017,The Fix,Feature,Video/Audio,http://thegroundtruthproject.org/projects/the-fix-groundtruth-podcast/,,,,,,,,,,,,The GroundTruth Project
2017,"Disabled, or Just Desperate?",Feature,Text,http://www.washingtonpost.com/sf/local/2017/03/30/disabled-or-just-desperate/?utm_term=.a233b8aab58e,,,,,,,,,,,,The Washington Post
2017,A Chinese Robot Dentist Operated on a Human Patient for the First Time Ever,News,Text,https://futurism.com/a-chinese-robot-dentist-operated-on-a-human-patient-for-the-first-time-ever/,,,,,,,,,,,,Futurism
2017,This Your Life on Private Equity,Analysis,Text,https://www.nytimes.com/interactive/2016/08/02/business/dealbook/this-is-your-life-private-equity.html,,,,,,,,,,,,The New York Times
2017,How Fake News Turned a Small Town Upside Down,Feature,Text,https://www.nytimes.com/2017/09/26/magazine/how-fake-news-turned-a-small-town-upside-down.html,,,,,,,,,,,,The New York Times
2017,The Math Behind Higher Health-Care Deductibles,Feature,Interactive,https://www.wsj.com/graphics/health-care-coverage/?mod=e2twg,,,,,,,,,,,,Wall Street Journal
2017,The Fine Line: What Makes Simone Biles the World's Best Gymnast,Sports,Interactive,https://www.nytimes.com/interactive/2016/08/05/sports/olympics-gymnast-simone-biles.html?_r=0,,,,,,,,,,,,The New York Times
2017,Long Live the Group Chat,Feature,Text,https://theoutline.com/post/2315/long-live-the-group-chat,,,,,,,,,,,,The Outline
2017,The Madman Theory of North Korea,Analysis,Text,https://www.newyorker.com/magazine/2017/10/02/the-madman-theory-of-north-korea,,,,,,,,,,,,New Yorker
2017,Killings of Black Men by Whites are Far More Likely to be Ruled “Justifiable”,Analysis,Text,https://www.themarshallproject.org/2017/08/14/killings-of-black-men-by-whites-are-far-more-likely-to-be-ruled-justifiable,,,,,,,,,,,,The Marshall Project
2017,Why N.F.L. Players Started Taking a Knee During the Anthem,News,Text,https://www.nytimes.com/interactive/2017/05/17/us/nfl-kneeling-national-anthem.html,,,,,,,,,,,,New York Times
2017,Who's Grooming Today's Unicorn Founders for Success?,Analysis,Text,,,,,,,,,,,,,GoodCall
2017,The Language of Hip-Hop,Analysis,Interactive,https://pudding.cool/2017/09/hip-hop-words/,,,,,,,,,,,,The Pudding
2017,7 Girl Scout Cookies You Thought You Were Getting But Aren't,Feature,Interactive,http://graphics.latimes.com/girl-scout-cookies/,,,,,,,,,,,,LA Times
2017,Healthy Behaviors That Boost Brain Health,Feature,Interactive,http://www.washingtonpost.com/sf/brand-connect/aarp/boost-brain-health/,,,,,,,,,,,,Washington Post
2017,Trek the Galapagos Islands,Feature,Interactive,https://www.google.com/maps/about/behind-the-scenes/streetview/treks/galapagos-islands/,,,,,,,,,,,,Google
2017,"How Does 'Hamilton', the Non Stop, Hip-Hop, Broadway Sensation Tap Rap's Master Rhymes to Blur Musical Lines?",Analysis,Interactive,http://graphics.wsj.com/hamilton/,,,,,,,,,,,,Wall Street Journal
2017,Philippe Starck Starck Vision,Feature,Text,https://www.wallpaper.com/guest-editor/philippe-starck,,,,,,,,,,,,Wallpaper
2017,Loving Vincent': The First Fully Painted Film,Feature,Video/Audio,http://www.bbc.com/news/av/41422698/loving-vincent-the-first-fully-painted-film,,,,,,,,,,,,BBC
2017,Richard Twice,Feature,Video/Audio,https://www.nytimes.com/video/opinion/100000005279071/richard-twice.html?playlistId=100000004867895&region=video-grid&version=video-grid-thumbnail&contentCollection=Op-Docs&contentPlacement=5&module=recent-videos&action=click&pgType=Multimedia&eventName=video-grid-click,,,,,,,,,,,,New York Times
2017,Allergy to Originality,Feature,Video/Audio,https://www.nytimes.com/video/opinion/100000001695225/allergy-to-originality.html?playlistId=100000003465291,,,,,,,,,,,,New York Times
2017,"1,516 mass shootings in 1,735 days: America's gun crisis – in one chart",News,Illustration,https://www.theguardian.com/us-news/ng-interactive/2017/oct/02/america-mass-shootings-gun-violence,,,,,,,,,,,,The Guardian
2017,Gun Law Navigator,Analysis,Interactive,https://everytownresearch.org/navigator/index.html,,,,,,,,,,,,Everytown for Gun Safety
2017,"Fifty Years of U.S. Mass Shootings: The Victims, Sites, Killers, and Weapons",Analysis,Interactive,https://www.washingtonpost.com/graphics/national/mass-shootings-in-america/,,,,,,,,,,,,Washington Post
2017,Why It's Easy to Get a Gun in Nevada,Analysis,Text,https://news.vice.com/story/why-its-easy-to-get-a-gun-in-nevada,,,,,,,,,,,,Vice
2017,Police Shootings 2016 Database,Analysis,Interactive,https://www.washingtonpost.com/graphics/national/police-shootings-2016/,,,,,,,,,,,,Washington Post
2017,How Popular is Donald Trump?,Analysis,Interactive,https://projects.fivethirtyeight.com/trump-approval-ratings/,,,,,,,,,,,,FiveThirty-Eight
2017,How to Prevent Gun Deaths? Where Experts and the Public Agree,Analysis,Text,https://www.nytimes.com/interactive/2017/01/10/upshot/How-to-Prevent-Gun-Deaths-The-Views-of-Experts-and-the-Public.html?action=click&contentCollection=upshot&region=rank&module=package&version=highlights&contentPlacement=4&pgtype=sectionfront,,,,,,,,,,,,New York Times
2017,How US gun culture compares with the world in 5 charts,Analysis,Text,http://www.cnn.com/2017/10/03/americas/us-gun-statistics/index.html,,,,,,,,,,,,CNN
2017,How the Las Vegas Strip Shooting Unfolded,News,Text,https://www.washingtonpost.com/graphics/2017/national/las-vegas-shooting/?hpid=hp_visual-stories-desktop_no-name%3Ahomepage%2Fstory&utm_term=.f4361622ed87,,,,,,,,,,,,Washington Post
2017,How Every NFL Team’s Fans Lean Politically,Analysis,Text,https://fivethirtyeight.com/features/how-every-nfl-teams-fans-lean-politically/,,,,,,,,,,,,FiveThirty-Eight
2017,"America's Unique Gun Violence Problem, in 17 Maps and Charts",Analysis,Interactive,https://www.vox.com/policy-and-politics/2017/10/2/16399418/us-gun-violence-statistics-maps-charts,,,,,,,,,,,,Vox
2017,Rendezvous With Death,Feature,Interactive,http://kennedyandoswald.com/#!/premiere-screen,,,,,,,,,,,,National Geographic
2017,How To Be a Writer,Feature,Interactive,http://graphics.latimes.com/how-to-be-a-writer/,,,,,,,,,,,,LA Times
2017,The Trump Effect: Tracking the Impact of the President's Policies,Feature,Interactive,http://fingfx.thomsonreuters.com/gfx/rngs/TRUMP-EFFECT-ENERGY/010051272EC/index.html?utm_source=twitter&utm_medium=Social&utm_medium=Social&utm_source=twitter,,,,,,,,,,,,Reuters
2017,Ireland Tops U.S. as the Country Best Able to Feed its People,Analysis,Illustration,https://www.bloomberg.com/graphics/2017-food-security/,,,,,,,,,,,,Bloomberg
2017,Behind the Bloodshed: The Untold Story of America's Mass Killings,Analysis,Interactive,http://www.gannett-cdn.com/GDContent/mass-killings/index.html#title,,,,,,,,,,,,USA Today
2017,Tampa Bay's Coming Storm,Feature,Interactive,https://www.washingtonpost.com/graphics/2017/health/environment/tampa-bay-climate-change/?tid=graphics-story&utm_term=.fac03150e10a,,,,,,,,,,,,Washington Post
2017,Tampa Bay Walmart Gets Thousands of Police Calls. You Paid the Bill.,Feature,Text,http://www.tampabay.com/projects/2016/public-safety/walmart-police/,,,,,,,,,,,,Tampa Bay Tribune
2017,Dollar General Hits a Gold Mine in Rural America,Feature,Text,https://www.bloomberg.com/news/features/2017-10-11/dollar-general-hits-a-gold-mine-in-rural-america,,,,,,,,,,,,Bloomberg
2017,The New Burger Capitals of America,Feature,Text,http://labs.time.com/story/burger-capitals/,,,,,,,,,,,,Time
2017,Nothing Devides Voters Like Owning A Gun,Analysis,Interactive,https://www.nytimes.com/interactive/2017/10/05/upshot/gun-ownership-partisan-divide.html?rref=collection%2Fsectioncollection%2Fupshot&action=click&contentCollection=upshot&region=rank&module=package&version=highlights&contentPlacement=7&pgtype=sectionfront,,,,,,,,,,,,New York Times
2017,Dope Sick,Feature,Interactive,https://www.statnews.com/feature/opioid-crisis/dope-sick/,,,,,,,,,,,,Stat News
2017,Where the Heat and the Thunder Hit Their Shots,Sports,Text,http://www.nytimes.com/interactive/2012/06/11/sports/basketball/nba-shot-analysis.html?ref=sports,,,,,,,,,,,,New York Times
2017,How Far Women Travel for an Abortion in the U.S.,News,Interactive,http://www.cnn.com/2017/10/03/health/abortion-access-disparities-study/index.html,,,,,,,,,,,,CNN
2017,Millenials: Coming of Age,Feature,Interactive,http://www.goldmansachs.com/our-thinking/pages/millennials/,,,,,,,,,,,,Goldman Sachs
2017,"As Cancer Tears Through Africa, Drug Makers Draw Up a Plan",Feature,Text,https://www.nytimes.com/2017/10/07/health/africa-cancer-drugs.html,,,,,,,,,,,,New York Times
2017,A Rogue State Along Two Rivers,Analysis,Interactive,https://www.nytimes.com/interactive/2014/07/03/world/middleeast/syria-iraq-isis-rogue-state-along-two-rivers.html,,,,,,,,,,,,New York Times
2017,The (Very) Long Tail Of Hurricane Recovery,Analysis,Interactive,https://projects.fivethirtyeight.com/sandy-311/,,,,,,,,,,,,FiveThirty-Eight
2017,Homan Square: A Portrait of Chicago's Detainees,Feature,Interactive,https://www.theguardian.com/us-news/ng-interactive/2015/oct/19/homan-square-chicago-police-detainees,,,,,,,,,,,,The Guardian
2017,"Deep In Trump Country, a Big Stake in Health Care",Feature,Text,https://www.nytimes.com/interactive/2017/10/16/business/economy/trump-obamacare-arkansas.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=second-column-region&region=top-news&WT.nav=top-news,,,,,,,,,,,,New York Times
2017,Tracking Congress in the Age of Trump,Analysis,Interactive,https://projects.fivethirtyeight.com/congress-trump-score/,,,,,,,,,,,,FiveThirty-Eight
2017,Digging Up the Dead: Probing the Ruins of Mosul,Feature,Photo,https://www.nytimes.com/interactive/2017/10/09/world/middleeast/mosul-iraq-rubble-dead.html,,,,,,,,,,,,New York Times
2017,"A Mother Uses a Similar Tone With Babies, No Matter the Language",News,Text,http://netnebraska.org/node/1099444,,,,,,,,,,,,NetNebraska
2017,The Wizards' Shooting Stars,Sports,Interactive,http://www.washingtonpost.com/wp-srv/special/sports/wizards-shooting-stars/,,,,,,,,,,,,Washington Post
2017,The New Reality of Old Age in America,Feature,Text,https://www.washingtonpost.com/graphics/2017/national/seniors-financial-insecurity/?tid=pm_graphics_pop_b&utm_term=.6bf00131bd11,,,,,,,,,,,,Washington Post
2017,After the Storm,Feature,Interactive,http://www.pbs.org/independentlens/interactive/after-the-storm/#/dear-future-disaster-survivor,,,,,,,,,,,,PBS
2017,"Deep In Trump Country, a Big Stake in Health Care",Feature,Text,https://www.nytimes.com/interactive/2017/10/16/business/economy/trump-obamacare-arkansas.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=second-column-region&region=top-news&WT.nav=top-news,,,,,,,,,,,,New York Times
2017,A History of Video Game Consols,Feature,Interactive,"http://content.time.com/time/interactive/0,31813,2029221,00.html",,,,,,,,,,,,Time
2017,The Man Who Forgot He Was a Rapper,Feature,Text,https://www.gq.com/story/the-man-who-forgot-he-was-a-rapper?utm_source=nextdraft&utm_medium=email,,,,,,,,,,,,GQ
2017,Mapping the Wildfires in Northern California's Wine Country,News,Illustration,https://www.washingtonpost.com/graphics/2017/national/northern-california-fires/?hpid=hp_hp-visual-stories-desktop_no-name:homepage/story&utm_campaign=buffer&utm_content=bufferad328&utm_medium=social&utm_source=twitter.com&utm_term=.43a1412fd7e3,,,,,,,,,,,,Washington Post
2017,3 Match Cocktails to Cozy Up With This Fall,News,Photo,https://www.self.com/story/matcha-cocktails,,,,,,,,,,,,Self
2017,The Path to Power in China,Analysis,Illustration,https://www.bloomberg.com/graphics/2017-china-party-congress/,,,,,,,,,,,,Bloomberg
